frame_id,t_capture_ns,t_estimate_ns,t_control_ns,t_actuate_ns,cap_to_est_ms,est_to_ctrl_ms,ctrl_to_act_ms,total_ms
199,1182953250936,1182955786394,1182955788264,1182955810966,2.53546,0.00187,0.022702,2.56003
200,1182986526110,1182988937891,1182988939317,1182988955075,2.41178,0.001426,0.015758,2.42896
201,1183019838022,1183022185363,1183022186363,1183022203213,2.34734,0.001,0.01685,2.36519
202,1183053874663,1183056407232,1183056409491,1183056428749,2.53257,0.002259,0.019258,2.55409
203,1183086507361,1183088906088,1183088907884,1183088926698,2.39873,0.001796,0.018814,2.41934
204,1183119790442,1183122167226,1183122168559,1183122183706,2.37678,0.001333,0.015147,2.39326
205,1183153131667,1183155668069,1183155669125,1183155688290,2.5364,0.001056,0.019165,2.55662
206,1183186465337,1183188916282,1183188917449,1183188935873,2.45094,0.001167,0.018424,2.47054
207,1183219750639,1183222198178,1183222199270,1183222217806,2.44754,0.001092,0.018536,2.46717
208,1183253091364,1183255499053,1183255500331,1183255519848,2.40769,0.001278,0.019517,2.42848
209,1183286403517,1183288839834,1183288840926,1183288857684,2.43632,0.001092,0.016758,2.45417
210,1183319756001,1183322186706,1183322187892,1183322203242,2.43071,0.001186,0.01535,2.44724
211,1183353091726,1183355645627,1183355646683,1183355665848,2.5539,0.001056,0.019165,2.57412
212,1183386417007,1183388840769,1183388842214,1183388858731,2.42376,0.001445,0.016517,2.44172
213,1183419735771,1183422123906,1183422125461,1183422144293,2.38814,0.001555,0.018832,2.40852
214,1183453081773,1183455521960,1183455523052,1183455544588,2.44019,0.001092,0.021536,2.46281
215,1183486366983,1183488751026,1183488752470,1183488770080,2.38404,0.001444,0.01761,2.4031
216,1183519685951,1183522076752,1183522077826,1183522096584,2.3908,0.001074,0.018758,2.41063
217,1183553012491,1183555540654,1183555541783,1183555558226,2.52816,0.001129,0.016443,2.54574
218,1183586413268,1183588808291,1183588809550,1183588828364,2.39502,0.001259,0.018814,2.4151
219,1183619687682,1183622073521,1183622074539,1183622092464,2.38584,0.001018,0.017925,2.40478
220,1183653085681,1183655521979,1183655524090,1183655545978,2.4363,0.002111,0.021888,2.4603
221,1183686383483,1183688803634,1183688805541,1183688831910,2.42015,0.001907,0.026369,2.44843
222,1183719647713,1183722030496,1183722031515,1183722049662,2.38278,0.001019,0.018147,2.40195
223,1183752957218,1183755362203,1183755363407,1183755383017,2.40498,0.001204,0.01961,2.4258
224,1183786289851,1183788695207,1183788696429,1183788717594,2.40536,0.001222,0.021165,2.42774
225,1183819618741,1183822014578,1183822015764,1183822034910,2.39584,0.001186,0.019146,2.41617
226,1183852989331,1183855428832,1183855429869,1183855449961,2.4395,0.001037,0.020092,2.46063
227,1183886287500,1183888679523,1183888680986,1183888702707,2.39202,0.001463,0.021721,2.41521
228,1183919565949,1183921984933,1183921986063,1183922005006,2.41898,0.00113,0.018943,2.43906
229,1183953676582,1183956166357,1183956168579,1183956190004,2.48977,0.002222,0.021425,2.51342
230,1183986260151,1183988674506,1183988676135,1183988693542,2.41436,0.001629,0.017407,2.43339
231,1184019571560,1184021967472,1184021968250,1184021986526,2.39591,0.000778,0.018276,2.41497
232,1184052902542,1184055269215,1184055270567,1184055288491,2.36667,0.001352,0.017924,2.38595
233,1184086194341,1184088600937,1184088601974,1184088620844,2.4066,0.001037,0.01887,2.4265
234,1184119512898,1184121934882,1184121935734,1184121953918,2.42198,0.000852,0.018184,2.44102
235,1184152866101,1184155310657,1184155311676,1184155325027,2.44456,0.001019,0.013351,2.45893
236,1184186174010,1184188584310,1184188585236,1184188600827,2.4103,0.000926,0.015591,2.42682
237,1184219510843,1184221875072,1184221875924,1184221891923,2.36423,0.000852,0.015999,2.38108
238,1184252863953,1184255242718,1184255243662,1184255264420,2.37877,0.000944,0.020758,2.40047
239,1184286147087,1184288525148,1184288526185,1184288545739,2.37806,0.001037,0.019554,2.39865
240,1184319481642,1184321896534,1184321897423,1184321917699,2.41489,0.000889,0.020276,2.43606
241,1184352797921,1184355164039,1184355165113,1184355178260,2.36612,0.001074,0.013147,2.38034
242,1184386112553,1184388520723,1184388521704,1184388536351,2.40817,0.000981,0.014647,2.4238
243,1184419452478,1184421820466,1184421822003,1184421838520,2.36799,0.001537,0.016517,2.38604
244,1184452775646,1184455138115,1184455139837,1184455158799,2.36247,0.001722,0.018962,2.38315
245,1184486092777,1184488461561,1184488462857,1184488481133,2.36878,0.001296,0.018276,2.38836
246,1184519418500,1184521816763,1184521817911,1184521837039,2.39826,0.001148,0.019128,2.41854
247,1184552747389,1184555114914,1184555116043,1184555128950,2.36753,0.001129,0.012907,2.38156
248,1184586055447,1184588442988,1184588444211,1184588458673,2.38754,0.001223,0.014462,2.40323
249,1184619399539,1184621810394,1184621811690,1184621827263,2.41086,0.001296,0.015573,2.42772
250,1184652830162,1184655246998,1184655248868,1184655324715,2.41684,0.00187,0.075847,2.49455
251,1184686099241,1184688515651,1184688517521,1184688603441,2.41641,0.00187,0.08592,2.5042
252,1184719367986,1184721735011,1184721736085,1184721827375,2.36702,0.001074,0.09129,2.45939
253,1184752704893,1184755048957,1184755049882,1184755087139,2.34406,0.000925,0.037257,2.38225
254,1184786011006,1184788421436,1184788422547,1184788436268,2.41043,0.001111,0.013721,2.42526
255,1184819344393,1184821705048,1184821706159,1184821722750,2.36065,0.001111,0.016591,2.37836
256,1184852672557,1184855033508,1184855034434,1184855054192,2.36095,0.000926,0.019758,2.38164
257,1184886013999,1184888384745,1184888386263,1184888404892,2.37075,0.001518,0.018629,2.39089
258,1184919301666,1184921701669,1184921702780,1184921720335,2.4,0.001111,0.017555,2.41867
259,1184953418924,1184956032803,1184956034932,1184956052172,2.61388,0.002129,0.01724,2.63325
260,1184985996195,1184988429511,1184988432085,1184988448214,2.43332,0.002574,0.016129,2.45202
261,1185019308879,1185021695865,1185021697661,1185021715475,2.38699,0.001796,0.017814,2.4066
262,1185052675337,1185055080526,1185055082100,1185055098543,2.40519,0.001574,0.016443,2.42321
263,1185085944468,1185088333454,1185088334565,1185088350027,2.38899,0.001111,0.015462,2.40556
264,1185119278632,1185121684506,1185121685487,1185121702356,2.40587,0.000981,0.016869,2.42372
265,1185152617110,1185155009892,1185155010837,1185155028021,2.39278,0.000945,0.017184,2.41091
266,1185185988068,1185188379850,1185188380720,1185188393331,2.39178,0.00087,0.012611,2.40526
267,1185219269680,1185221637075,1185221637778,1185221650555,2.3674,0.000703,0.012777,2.38088
268,1185252629823,1185255019754,1185255021124,1185255036456,2.38993,0.00137,0.015332,2.40663
269,1185285877364,1185288276701,1185288277849,1185288293181,2.39934,0.001148,0.015332,2.41582
270,1185319212435,1185321592384,1185321593847,1185321609717,2.37995,0.001463,0.01587,2.39728
271,1185352554894,1185354899550,1185354900402,1185354918104,2.34466,0.000852,0.017702,2.36321
272,1185385844191,1185388261879,1185388262934,1185388276711,2.41769,0.001055,0.013777,2.43252
273,1185419166633,1185421543268,1185421544694,1185421560897,2.37663,0.001426,0.016203,2.39426
274,1185452550923,1185454914300,1185454915411,1185454930743,2.36338,0.001111,0.015332,2.37982
275,1185485837127,1185488241464,1185488242649,1185488257574,2.40434,0.001185,0.014925,2.42045
276,1185519157181,1185521538001,1185521539057,1185521556833,2.38082,0.001056,0.017776,2.39965
277,1185552531472,1185554876757,1185554878016,1185554898163,2.34529,0.001259,0.020147,2.36669
278,1185585826768,1185588170868,1185588172090,1185588186941,2.3441,0.001222,0.014851,2.36017
279,1185619125305,1185621524512,1185621525586,1185621541011,2.39921,0.001074,0.015425,2.41571
280,1185652562591,1185655011629,1185655012906,1185655030590,2.44904,0.001277,0.017684,2.468
281,1185685835667,1185688206580,1185688208580,1185688228856,2.37091,0.002,0.020276,2.39319
282,1185719114686,1185721491580,1185721492765,1185721506302,2.37689,0.001185,0.013537,2.39162
